"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2017","TEX","78","84","29","626","162","1434.1","6.95","3.51","1.34",".289","70.9%","44.2%","13.6%","86.8","4.70","4.88","4.89","11.2"
"2013","BAL","85","77","57","635","162","1453.0","7.24","2.93","1.25",".291","74.6%","42.2%","12.9%","","4.20","4.33","3.99","11.1"
"2016","MIL","73","89","46","675","162","1434.1","7.37","3.34","1.12",".300","73.1%","46.0%","12.4%","88.1","4.10","4.37","4.42","11.1"
"2009","SDP","75","87","45","689","162","1450.2","7.36","3.74","1.04",".294","70.9%","43.5%","10.1%","","4.37","4.30","4.29","11.1"
"2007","DET","88","74","44","605","162","1447.1","6.51","3.52","1.08",".295","70.7%","44.2%","10.2%","","4.58","4.67","4.59","11.1"
"2015","TEX","88","74","45","660","162","1442.2","6.83","3.17","1.07",".294","72.4%","44.2%","11.2%","88.4","4.25","4.34","4.37","11.0"
"2017","LAA","80","82","43","705","162","1440.2","8.20","2.94","1.40",".289","74.9%","41.6%","14.1%","88.4","4.20","4.43","4.37","11.0"
"2007","BAL","69","93","30","652","162","1438.2","6.80","4.35","1.01",".302","68.4%","44.9%","9.7%","","5.19","4.78","4.78","11.0"
"2011","CHC","71","91","40","657","162","1434.1","7.68","3.64","1.02",".301","71.3%","43.0%","10.3%","","4.34","4.11","4.02","11.0"
"2006","ATL","79","83","38","684","162","1441.1","6.55","3.57","1.14",".300","71.1%","45.0%","11.6%","","4.60","4.65","4.53","11.0"
"2012","SFG","94","68","53","688","162","1451.0","7.67","3.03","0.88",".289","73.6%","46.0%","9.9%","","3.68","3.78","3.95","10.9"
"2007","PIT","68","94","32","657","162","1447.2","6.20","3.22","1.08",".315","69.5%","44.1%","10.0%","","4.94","4.66","4.60","10.9"
"2014","MIL","82","80","45","640","162","1457.2","7.69","2.66","1.03",".289","74.0%","45.6%","11.3%","","3.67","3.89","3.65","10.9"
"2018","TEX","67","95","42","668","162","1431.0","7.05","3.09","1.40",".299","69.6%","43.0%","14.1%","88.9","4.92","4.79","4.59","10.8"
"2015","CIN","64","98","35","683","162","1453.1","7.75","3.37","1.10",".297","71.7%","44.1%","12.1%","88.2","4.35","4.24","4.14","10.8"
"2014","CHW","73","89","36","615","162","1441.0","7.20","3.48","0.87",".306","70.4%","46.1%","9.4%","","4.30","4.10","4.11","10.7"
"2016","MIN","59","103","26","695","162","1443.0","7.43","2.99","1.38",".319","68.3%","43.0%","13.9%","89.5","5.09","4.57","4.42","10.7"
"2011","TOR","81","81","33","636","162","1458.2","7.21","3.33","1.10",".290","71.6%","44.4%","11.3%","","4.33","4.29","4.06","10.7"
"2011","KCR","71","91","37","582","162","1451.1","6.70","3.45","1.01",".299","71.5%","43.9%","9.9%","","4.45","4.27","4.24","10.7"
"2015","ARI","79","83","44","712","162","1466.2","7.46","3.07","1.12",".294","73.7%","45.7%","12.3%","88.9","4.05","4.21","4.09","10.6"
"2016","TBR","68","94","42","647","162","1426.1","8.56","3.10","1.33",".297","74.2%","41.0%","13.1%","89.3","4.20","4.26","4.22","10.6"
"2014","BOS","71","91","36","655","162","1465.2","7.45","2.96","0.95",".301","71.8%","43.6%","9.9%","","4.01","3.93","3.87","10.6"
"2010","WSN","69","93","37","656","162","1435.0","6.70","3.21","0.95",".297","70.8%","44.5%","9.4%","","4.13","4.12","4.13","10.4"
