,season,team,pa,hit_hr,runs_scored,rbi,hit_bb_rate,hit_k_rate,iso,bat_avg,obp,slg,woba,wrc_plus,hit_fwar,hit_hits,ops,wins,losses,saves,games,ip,era,fip,pitch_fwar,pitch_hits,runs_allowed,er,pitch_hr,pitch_bb,pitch_so,pitch_k_rate,pitch_bb_rate,whip,fp,drs,uzr,win_pct,run_diff
50,2007,PHI,6537,213,892,850,0.098,0.184,0.184,0.27399999999999997,0.354,0.45799999999999996,0.35100000000000003,105,34.9,1558,0.812,89,73,42,162,1458.1,4.76,4.86,9.9,1555,821,772,198,558,1050,0.16399999999999998,0.087,1.45,0.986,47,32.6,0.5493827160493827,71
51,2007,PIT,6214,148,724,694,0.075,0.183,0.149,0.263,0.325,0.41100000000000003,0.322,90,12.5,1463,0.736,68,94,32,162,1447.2,4.94,4.66,10.9,1627,846,795,174,518,997,0.156,0.081,1.48,0.986,-24,-18.0,0.41975308641975306,-122
52,2007,SDP,6326,171,741,704,0.08800000000000001,0.19399999999999998,0.16,0.251,0.322,0.41100000000000003,0.32,96,15.8,1408,0.732,89,74,45,163,1484.2,3.72,3.81,22.7,1406,666,614,119,474,1136,0.182,0.076,1.27,0.985,-3,-41.3,0.5460122699386503,75
53,2007,SEA,6209,153,794,754,0.063,0.139,0.138,0.287,0.337,0.425,0.33299999999999996,103,15.3,1629,0.762,88,74,43,162,1434.1,4.77,4.42,14.2,1578,813,760,147,546,1020,0.162,0.086,1.48,0.985,-46,-53.1,0.5432098765432098,-19
54,2007,SFG,6213,131,683,641,0.086,0.146,0.133,0.254,0.322,0.387,0.31,81,10.5,1407,0.708,71,91,37,162,1453.2,4.2,4.3,16.0,1442,720,678,133,593,1057,0.168,0.094,1.4,0.986,2,27.2,0.4382716049382716,-37
55,2007,STL,6211,141,725,690,0.081,0.146,0.132,0.27399999999999997,0.337,0.405,0.326,94,18.0,1513,0.743,78,84,34,162,1435.2,4.67,4.66,9.8,1514,829,745,168,509,945,0.15,0.081,1.41,0.98,48,1.8,0.48148148148148145,-104
56,2007,TBR,6280,187,782,750,0.087,0.21100000000000002,0.165,0.268,0.336,0.433,0.335,103,17.6,1500,0.769,66,96,28,162,1429.2,5.53,4.7,9.2,1649,944,879,199,568,1194,0.18600000000000003,0.08900000000000001,1.55,0.98,-82,-48.2,0.4074074074074074,-162
57,2007,TEX,6214,179,816,768,0.081,0.19699999999999998,0.163,0.263,0.32799999999999996,0.426,0.32899999999999996,94,15.1,1460,0.754,75,87,42,162,1430.0,4.76,4.83,9.1,1525,844,756,155,668,976,0.153,0.105,1.53,0.98,-4,-14.3,0.46296296296296297,-28
58,2007,TOR,6197,165,753,719,0.086,0.168,0.16,0.259,0.327,0.419,0.326,95,16.2,1434,0.746,83,79,44,162,1448.2,4.0,4.28,17.5,1383,699,644,157,479,1067,0.175,0.078,1.29,0.9840000000000001,81,24.9,0.5123456790123457,54
59,2007,WSN,6201,123,673,646,0.085,0.182,0.134,0.256,0.325,0.39,0.315,88,13.2,1415,0.715,73,89,46,162,1446.2,4.58,4.92,4.4,1502,783,736,187,580,931,0.147,0.092,1.44,0.982,-14,6.3,0.4506172839506173,-110
60,2008,ARI,6156,159,720,683,0.095,0.209,0.16399999999999998,0.251,0.327,0.415,0.324,88,9.5,1355,0.742,82,80,39,162,1434.2,3.99,3.84,22.9,1403,706,636,147,451,1229,0.201,0.07400000000000001,1.29,0.981,-32,-56.5,0.5061728395061729,14
61,2008,ATL,6368,130,753,721,0.09699999999999999,0.161,0.138,0.27,0.345,0.408,0.332,99,24.5,1514,0.753,72,90,26,162,1440.2,4.47,4.35,7.9,1439,778,715,156,586,1076,0.172,0.094,1.41,0.983,22,-19.4,0.4444444444444444,-25
62,2008,BAL,6211,172,782,750,0.086,0.159,0.162,0.267,0.33299999999999996,0.429,0.33299999999999996,99,19.0,1486,0.762,68,93,35,161,1422.0,5.15,5.14,3.4,1538,869,814,184,687,922,0.14400000000000002,0.107,1.56,0.983,-22,10.9,0.422360248447205,-87
63,2008,BOS,6402,173,845,807,0.10099999999999999,0.16699999999999998,0.168,0.28,0.358,0.447,0.35100000000000003,110,32.9,1565,0.805,95,67,47,162,1446.1,4.01,4.09,18.4,1369,694,645,147,548,1185,0.192,0.08900000000000001,1.33,0.986,17,57.1,0.5864197530864198,151
64,2008,CHC,6384,184,855,811,0.1,0.18600000000000003,0.165,0.278,0.354,0.44299999999999995,0.349,104,30.1,1552,0.797,97,64,44,161,1450.2,3.87,4.09,20.6,1329,671,624,160,548,1264,0.204,0.08800000000000001,1.29,0.983,-19,30.3,0.6024844720496895,184
65,2008,CHW,6231,235,811,785,0.087,0.163,0.185,0.263,0.332,0.44799999999999995,0.33899999999999997,101,15.5,1458,0.78,89,74,34,163,1457.2,4.11,4.0,24.1,1471,729,665,156,460,1147,0.184,0.07400000000000001,1.32,0.983,-34,-16.5,0.5460122699386503,82
66,2008,CIN,6188,187,704,677,0.09,0.182,0.161,0.247,0.321,0.408,0.319,87,13.8,1351,0.7290000000000001,74,88,34,162,1442.1,4.55,4.54,9.1,1542,800,729,201,557,1227,0.193,0.08800000000000001,1.46,0.981,-29,-32.3,0.4567901234567901,-96
67,2008,CLE,6299,171,805,772,0.08900000000000001,0.193,0.162,0.262,0.33899999999999997,0.424,0.33399999999999996,103,24.0,1455,0.763,81,81,31,162,1437.0,4.46,4.33,13.2,1530,761,712,170,444,986,0.16,0.07200000000000001,1.37,0.985,24,20.0,0.5,44
68,2008,COL,6312,160,747,714,0.09,0.192,0.152,0.263,0.336,0.415,0.33,88,8.1,1462,0.7509999999999999,74,88,36,162,1446.0,4.77,4.3,19.5,1547,822,766,148,562,1041,0.16399999999999998,0.08900000000000001,1.46,0.985,-21,-59.4,0.4567901234567901,-75
69,2008,DET,6331,200,821,780,0.09,0.17,0.17300000000000001,0.271,0.34,0.444,0.34299999999999997,106,16.8,1529,0.784,74,88,34,162,1445.0,4.91,4.79,8.3,1541,857,788,172,644,991,0.155,0.1,1.51,0.981,-32,-60.3,0.4567901234567901,-36
70,2008,HOU,6051,167,712,684,0.07400000000000001,0.174,0.152,0.263,0.32299999999999995,0.415,0.322,93,23.3,1432,0.737,86,75,48,161,1425.1,4.39,4.53,11.4,1453,743,695,197,492,1095,0.179,0.08,1.36,0.9890000000000001,17,52.0,0.5341614906832298,-31
71,2008,KCR,6118,120,691,650,0.064,0.16399999999999998,0.128,0.26899999999999996,0.32,0.397,0.315,87,7.4,1507,0.7170000000000001,75,87,44,162,1445.2,4.5,4.21,16.7,1473,781,723,159,515,1085,0.175,0.083,1.38,0.9840000000000001,-63,-10.4,0.46296296296296297,-90
72,2008,LAA,6155,159,765,721,0.078,0.16,0.145,0.268,0.33,0.413,0.324,96,17.6,1486,0.743,100,62,66,162,1451.1,4.0,4.12,17.5,1455,697,645,160,457,1106,0.18,0.07400000000000001,1.32,0.985,-10,9.2,0.6172839506172839,68
73,2008,LAD,6194,137,700,659,0.08800000000000001,0.16699999999999998,0.134,0.264,0.33299999999999996,0.39899999999999997,0.321,93,16.7,1455,0.732,84,78,35,162,1447.1,3.68,3.67,20.0,1381,648,592,123,480,1205,0.19699999999999998,0.078,1.29,0.9840000000000001,-12,-52.4,0.5185185185185185,52
74,2008,MIA,6206,208,770,741,0.087,0.221,0.179,0.254,0.326,0.433,0.33,96,18.5,1397,0.759,84,77,36,161,1435.1,4.44,4.37,15.1,1421,767,708,161,586,1127,0.18,0.09300000000000001,1.4,0.98,-10,4.2,0.5217391304347826,3
75,2008,MIL,6252,198,750,722,0.08800000000000001,0.192,0.179,0.253,0.325,0.431,0.32899999999999996,97,24.6,1398,0.757,90,72,45,162,1455.2,3.87,4.34,14.6,1415,689,626,175,528,1110,0.179,0.085,1.33,0.9840000000000001,44,15.9,0.5555555555555556,61
76,2008,MIN,6331,111,829,791,0.084,0.155,0.129,0.27899999999999997,0.34,0.408,0.32799999999999996,99,19.3,1572,0.748,88,75,42,163,1459.0,4.18,4.3,12.8,1568,745,677,183,406,995,0.16,0.065,1.35,0.982,-25,-13.9,0.5398773006134969,84
77,2008,NYM,6388,172,799,751,0.09699999999999999,0.16,0.154,0.266,0.34,0.42,0.332,100,28.9,1491,0.7609999999999999,89,73,43,162,1464.1,4.07,4.32,13.0,1415,715,663,163,590,1181,0.18600000000000003,0.09300000000000001,1.37,0.986,33,31.8,0.5493827160493827,84
78,2008,NYY,6257,180,789,758,0.086,0.162,0.156,0.271,0.342,0.42700000000000005,0.33799999999999997,104,21.3,1512,0.769,89,73,42,162,1441.2,4.28,3.96,16.9,1478,727,686,143,489,1141,0.185,0.079,1.36,0.986,-41,-42.5,0.5493827160493827,62
79,2008,OAK,6138,125,646,610,0.094,0.2,0.127,0.242,0.318,0.369,0.306,86,14.7,1318,0.6859999999999999,75,86,33,161,1435.0,4.01,4.19,14.6,1364,690,640,135,576,1061,0.174,0.094,1.35,0.9840000000000001,57,36.4,0.4658385093167702,-44
80,2008,PHI,6273,214,799,762,0.09300000000000001,0.17800000000000002,0.182,0.255,0.332,0.43799999999999994,0.33399999999999996,98,32.8,1407,0.77,92,70,47,162,1449.2,3.89,4.3,14.9,1444,680,627,160,533,1081,0.174,0.086,1.36,0.985,76,66.5,0.5679012345679012,119
81,2008,PIT,6278,153,735,705,0.076,0.165,0.145,0.258,0.32,0.40299999999999997,0.317,89,6.3,1454,0.723,67,95,34,162,1455.0,5.1,4.84,10.3,1631,884,824,176,657,963,0.14800000000000002,0.10099999999999999,1.57,0.983,-13,-24.6,0.41358024691358025,-149
82,2008,SDP,6244,154,637,615,0.083,0.20199999999999999,0.14,0.25,0.317,0.39,0.311,92,13.8,1390,0.7070000000000001,63,99,30,162,1458.1,4.41,4.33,12.7,1466,764,714,165,561,1100,0.175,0.08900000000000001,1.39,0.986,-15,-24.8,0.3888888888888889,-127
83,2008,SEA,6176,124,671,631,0.068,0.14400000000000002,0.124,0.265,0.318,0.389,0.31,90,7.6,1498,0.7070000000000001,61,101,36,162,1435.1,4.73,4.59,9.4,1544,811,754,161,626,1016,0.16,0.098,1.51,0.9840000000000001,16,-12.9,0.3765432098765432,-140
84,2008,SFG,6145,94,640,606,0.07400000000000001,0.17,0.12,0.262,0.321,0.382,0.309,83,10.3,1452,0.703,72,90,41,162,1442.0,4.38,4.24,14.8,1416,759,701,147,652,1240,0.196,0.10300000000000001,1.43,0.983,-33,23.3,0.4444444444444444,-119
85,2008,STL,6370,174,779,744,0.091,0.155,0.152,0.281,0.35,0.433,0.342,107,34.0,1585,0.7829999999999999,86,76,42,162,1454.0,4.2,4.4,9.1,1517,725,679,163,496,957,0.153,0.079,1.38,0.986,69,19.2,0.5308641975308642,54
