"Season","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"2009","STL","6168","8.6%","16.9%","0.51",".263",".332",".415",".747",".152","4.3",".296","15.4","-0.2","-1.8","721","-18.4",".325","98"
"2019","NYM","6290","8.2%","22.0%","0.37",".257",".328",".442",".770",".185","3.8",".299","-10.7","-2.5","-3.8","817","25.8",".325","104"
"2014","TOR","6167","8.1%","18.7%","0.44",".259",".323",".414",".736",".155","4.2",".295","-1.9","-0.2","2.1","734","71.2",".325","107"
"2010","ARI","6183","9.5%","24.7%","0.39",".250",".325",".416",".740",".166","4.5",".312","-6.8","2.2","-3.7","727","17.0",".325","93"
"2017","CIN","6213","9.1%","21.4%","0.43",".253",".329",".433",".761",".179","5.0",".294","-14.0","4.9","3.8","774","16.7",".325","95"
"2013","LAA","6260","8.4%","19.5%","0.43",".264",".329",".414",".743",".150","4.5",".307","-1.5","-6.2","-2.0","741","54.6",".325","109"
"2018","COL","6178","8.2%","22.6%","0.36",".256",".322",".435",".757",".179","5.2",".304","3.1","-2.0","2.1","769","47.3",".325","88"
"2011","KCR","6267","7.1%","16.1%","0.44",".275",".329",".415",".744",".140","5.2",".311","-2.6","1.0","2.3","746","42.4",".325","101"
"2007","HOU","6324","8.6%","16.5%","0.52",".260",".330",".412",".742",".152","4.0",".291","-7.9","-3.8","-6.2","742","-39.8",".325","92"
"2006","SDP","6287","9.0%","17.6%","0.51",".263",".332",".416",".749",".154","5.1",".299","-3.6","0.0","8.8","748","-41.4",".325","99"
"2015","HOU","6073","8.0%","22.9%","0.35",".250",".315",".437",".752",".187","4.7",".292","1.1","4.3","2.7","739","55.8",".325","108"
"2017","MIA","6248","7.8%","20.5%","0.38",".267",".331",".431",".761",".163","4.6",".313","-3.0","2.7","1.7","775","13.4",".325","101"
"2014","PIT","6224","8.4%","20.0%","0.42",".259",".330",".404",".734",".145","4.4",".307","8.3","-1.8","-2.7","733","64.0",".325","108"
"2008","LAA","6155","7.8%","16.0%","0.49",".268",".330",".413",".743",".145","4.7",".299","1.2","-3.7","1.5","722","-19.4",".324","96"
"2009","CHC","6244","9.5%","19.0%","0.50",".255",".332",".407",".738",".152","3.8",".296","-5.1","-1.1","-7.0","722","-26.3",".324","90"
"2008","ARI","6156","9.5%","20.9%","0.46",".251",".327",".415",".742",".164","4.6",".299","8.5","5.5","-1.9","715","-25.7",".324","88"
"2013","COL","6152","6.9%","19.6%","0.35",".270",".323",".418",".741",".149","5.0",".317","9.8","2.6","5.0","719","45.2",".324","87"
"2013","CLE","6165","9.1%","20.8%","0.44",".255",".327",".410",".737",".155","4.6",".300","-0.1","7.3","4.3","725","49.4",".324","104"
"2012","WSN","6221","7.7%","21.3%","0.36",".261",".322",".428",".750",".166","4.6",".308","-7.9","3.1","0.7","751","41.2",".324","101"
"2016","TEX","6089","7.2%","20.0%","0.36",".262",".322",".433",".755",".172","4.4",".298","-3.1","3.3","1.8","747","29.1",".324","95"
"2019","MIL","6309","10.0%","24.8%","0.40",".246",".329",".438",".767",".192","4.4",".296","0.4","-0.6","6.1","814","20.3",".324","98"
"2013","TBR","6242","9.4%","18.8%","0.50",".257",".329",".408",".737",".151","3.7",".295","10.6","-2.8","-5.3","733","48.8",".324","107"
"2011","COL","6275","8.8%","19.1%","0.46",".258",".329",".410",".739",".152","5.0",".300","-3.6","0.2","1.6","739","34.0",".324","88"
"2015","DET","6159","7.4%","20.4%","0.36",".270",".328",".420",".748",".150","4.6",".322","-13.9","-7.4","-6.3","744","51.8",".324","103"
"2009","ARI","6269","9.1%","20.7%","0.44",".253",".324",".418",".742",".165","5.0",".299","3.2","10.0","-0.1","723","-28.8",".324","89"
"2013","BAL","6144","6.8%","18.3%","0.37",".260",".313",".431",".744",".171","3.9",".288","6.5","7.3","0.0","719","45.3",".323","101"
"2012","ARI","6150","8.8%","20.6%","0.43",".259",".328",".418",".746",".159","4.6",".307","-1.2","3.8","-8.2","736","34.1",".323","97"
"2006","KCR","6229","7.6%","16.7%","0.46",".271",".332",".411",".743",".140","4.5",".311","7.0","0.1","-4.1","736","-45.7",".323","92"
"2015","NYY","6268","8.8%","19.6%","0.45",".251",".323",".421",".744",".170","3.9",".283","-5.4","8.5","-0.1","754","49.0",".323","103"
"2013","TEX","6196","7.5%","17.2%","0.43",".262",".323",".412",".735",".150","4.8",".294","-2.4","-2.5","6.9","722","43.0",".323","97"
"2010","KCR","6209","7.6%","14.6%","0.52",".274",".331",".399",".730",".126","4.4",".305","-19.6","-6.8","-2.0","721","8.0",".323","98"
"2014","BAL","6130","6.5%","21.0%","0.31",".256",".311",".422",".734",".166","3.6",".296","-4.4","2.1","-3.9","717","58.4",".323","104"
"2017","OAK","6126","9.2%","24.3%","0.38",".246",".319",".436",".755",".190","3.8",".294","-3.7","-0.4","-1.4","756","8.9",".323","103"
"2006","SEA","6213","6.5%","15.7%","0.41",".272",".325",".424",".749",".153","5.0",".300","-3.2","4.4","2.8","731","-48.7",".322","95"
"2006","MIL","6130","8.2%","20.1%","0.41",".258",".327",".420",".747",".162","3.9",".300","5.9","-3.3","-4.1","715","-54.2",".322","89"
"2018","TBR","6195","8.7%","22.4%","0.39",".258",".333",".406",".740",".148","5.2",".317","-1.3","0.0","1.0","761","37.4",".322","107"
"2013","STL","6202","7.8%","17.9%","0.43",".269",".332",".401",".733",".133","3.8",".314","4.3","-8.6","-4.8","715","35.1",".322","104"
